Scot,,Loeffler
Scott,,Satterfield
Scott,,Shafer
Skip,,Holtz
Snuff,,Mackowan
Sol,,Metzger
Stephen,,O'Rourke
Steve,,Addazio
Steve,,Sarkisian
Steve,,Sebo
Steve,,Spurrier
Stu,,Holcomb
Swede,,Larson
Ted,,Roof
Ted,,Tollner
Terry,,Allen
Terry,,Shea
Thomas,J.,Smull
Thomas,,McFadden
Todd,,Graham
Tom,,Cahill
Tom,,Coughlin
Tom,,Hamilton
Tom,,Harp
Tom,,Leith
Tom,,O'Brien
Tommy,,Mills
Tony,,Hinkle
Troy,,Calhoun
Tug,,Wilson
Tuss,,McLaughry
Urban,,Meyer
Vee,,Green
Vernon,,Randall
Vince,,Dooley
W.C.,,Blaemaster
W.G.,,Kline
Walt,,Harris
Walter,,McCornack
Walter,,Milligan
Walter,,Powell
Walter,,Steffen
Warren,,Powers
Wayne,,Hardin
Wes,,Fesler
Wesley,,Englehorn
William,,Alexander
William,,Boone
William,,Dietz
William,,Juneau
William,,Spaulding
William,,Wood
Willie,,Taggart
